人	человек, люди
方	сторона, направление
日	день, солнце
文	литература, текст, предложение
本	основа, данный, книга
先	раньше, впереди
生	жизнь, живой, сырой, неспелый
何	что?
私	я
学	учеба
語	слово, язык

土	земля
大	большой, великий
山	гора
木	дерево
中	центр, середина, внутри
四	четыре
田	поле
年	год
室	комната
教	вера, учение
部	часть, отдел, отделение

七	семь
八	восемь
九	девять
十	десять
火	огонь
今	сейчас, теперь
六	шесть
友	друг
五	пять
図	чертеж, план, карта
英	выдающийся, Англия, английский
書	писать
留	останавливаться
館	дом, здание

小	маленький
千	тысяча
月	луна, месяц
水	вода
白	белый
百	сто
毎	каждый
近	близкий
明	светлый, ясный, очевидный
東	восток
京	столица
青	зеленый, голубой, синий
茶	чай
高	высокий, дорогой
新	новый, свежий

午	полдень
行	группа, партия, строка (верт.), идти, совершать
休	отдыхать, пропускать (занятия)
金	золото, деньги, металл
始	начало
前	предшествующий, вперед, заранее, раньше
後	последующий, позади, после, потом, сзади
食	есть
帰	возвращаться
時	время
起	вставать, просыпаться, поднимать, возникать
堂	храм, зал
終	конец, закончить
晩	вечер
間	промежуток, период времени, свободное место, комната
曜	день недели

上	верх, на, над, высший, поднимать, давать
下	внизу, низ, под, свешиваться, падать, спускаться, давать (вежливо)
子	ребенок
台	подставка
右	правый
左	левый
宅	(ваш) дом
池	пруд
所	место
松	сосна
門	ворота, вход, область
屋	дом, магазин, (ーや）
段	лестница, ступень
庭	сад, двор
家	дом, резиденция, семья
側	бок, рядом, сторона, ряд
階	этаж, лестница, ступень

出	выходить, появляться, вынимать, выдавать
法	закон, правило, способ, прием, учение, религия
会	собрание, общество, встречать, встречаться
字	иероглиф, буква
見	видеть, смотреть, считать, полагать, виднеться, показывать
事	обстоятельство, дело, факт
勉	стараться
科	отрасль науки, курс (наук), отделение, факультет
強	сильный, крепкий, заставлять, вынуждать
授	представлять, преподавать
答	отвечать, ответ, решение
業	занятие, профессия, дело, искусство, прием
情	чувство, любовь, положение, обстоятельство
習	привычка, учеба, учиться, заниматься
漢	Китай, китайский
話	говорить, разговаривать, разговор
聞	слушать, слышать, спрашивать, быть слышным, доноситься
読	читать

入	входить, вступать, вкладывать
外	внешний, заграница, вне, другой, отцеплять, расстегивать
好	хороший, добрый, любить, предпочитать
来	приходить, прибывать
果	плод, фрукт, следствие, результат, исполнять, осуществлять
的	цель, мишень
店	лавка, магазин
員	член, работник, служащий, штат, персонал
物	вещь, предмет
夜	ночь, вечер
待	ждать, ожидать
持	держать в руках, иметь, владеть
紅	алый, красный
昼	полдень, день, обед
朝	утро
飯	вареный рис, пища, еда
買	покупать
飲	пить, глотать, курить
喫	пить, есть

父	отец
化	превращаться, воздействовать
半	половина
兄	старший брат
母	мать
多	много, иметься в большом количестве
名	имя, название, известность
両	два, оба
地	земля, место
弟	младший брат
姉	старшая сестра
妹	младшая сестра
祖	предок, родоначальник, основатель, основоположник
校	школа
師	учитель
族	семья, род
理	основание, причина, довод, аргумент, правда, принцип
義	смысл, долг, честь, справедливость
親	родственник
講	лекция
